description,dataType,calories,protein_g,carbs_g,fat_g,fiber_g,Cluster,meal_type
"Almond butter sandwich, on white bread",Survey (FNDDS),20.0,0.54,1.53,1.21,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Almond butter, lower sodium",Survey (FNDDS),30.0,0.53,4.31,1.18,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Almond chicken,Survey (FNDDS),15.0,0.55,0.34,1.22,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Almond milk, chocolate",Survey (FNDDS),458.0,9.0,47.81,27.74,4.8,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
"Almond milk, NFS",Survey (FNDDS),15.0,0.0,3.75,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Almond milk, sweetened",Survey (FNDDS),75.0,0.81,16.45,0.98,2.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Almond milk, unsweetened",Survey (FNDDS),373.0,7.63,66.99,8.38,1.4,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
Almond oil,Survey (FNDDS),158.0,11.62,3.75,10.7,1.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Almond paste,Survey (FNDDS),46.0,0.1,11.3,0.13,0.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Almonds, chocolate covered candy",Survey (FNDDS),22.0,0.0,5.1,0.1,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Almonds, flavored",Survey (FNDDS),48.0,0.09,11.34,0.25,0.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Almonds, honey roasted",Survey (FNDDS),48.0,0.12,11.49,0.17,0.3,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Almonds, lightly salted",Survey (FNDDS),100.0,0.1,26.1,0.1,1.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Almonds, NFS",Survey (FNDDS),180.0,1.45,12.2,14.24,2.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Almonds, salted",Survey (FNDDS),113.0,0.32,22.7,3.08,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Almonds, unroasted",Survey (FNDDS),134.0,1.34,29.61,2.15,1.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Almonds, unsalted",Survey (FNDDS),75.0,0.25,17.97,0.17,1.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Aloe vera juice drink,Survey (FNDDS),75.0,0.25,17.97,0.17,1.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Ambrosia,Survey (FNDDS),52.0,0.27,12.26,0.16,1.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Animal fat or drippings,Survey (FNDDS),56.0,0.17,13.63,0.45,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Anisette toast,Survey (FNDDS),57.0,0.65,13.85,0.17,1.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Antipasto with ham, fish, cheese, vegetables",Survey (FNDDS),267.0,5.66,30.47,14.0,2.4,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
Apple cider,Survey (FNDDS),159.0,28.08,0.0,4.34,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Apple juice beverage, 40-50% juice, light",Survey (FNDDS),53.0,2.89,11.95,0.34,5.7,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Apple juice, 100%",Survey (FNDDS),331.0,3.86,5.78,32.67,0.9,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Apple juice, 100%, with calcium added",Survey (FNDDS),160.0,5.33,22.28,5.94,3.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Apple pie filling,Survey (FNDDS),116.0,10.24,8.11,5.26,1.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Apple salad with dressing,Survey (FNDDS),130.0,11.44,9.5,5.46,1.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Apple, baked",Survey (FNDDS),71.0,2.01,9.65,2.84,2.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Apple, candied",Survey (FNDDS),50.0,2.07,9.93,0.3,2.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Apple, dried",Survey (FNDDS),38.0,2.09,2.4,2.82,1.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Applesauce, flavored",Survey (FNDDS),45.0,2.08,2.39,3.54,1.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Applesauce, regular",Survey (FNDDS),41.0,2.09,2.39,3.18,1.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Applesauce, unsweetened",Survey (FNDDS),19.0,2.14,2.46,0.65,1.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Apricot nectar,Survey (FNDDS),42.0,2.31,4.05,2.48,2.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Apricot, canned",Survey (FNDDS),49.0,2.29,4.04,3.25,2.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Apricot, dried",Survey (FNDDS),45.0,2.3,4.04,2.86,2.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Arepa Dominicana,Survey (FNDDS),21.0,2.36,4.16,0.13,2.3,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Armadillo,Survey (FNDDS),37.0,2.87,1.87,2.59,1.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Artichoke,Survey (FNDDS),44.0,2.86,1.86,3.31,1.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Artichoke dip,Survey (FNDDS),40.0,2.86,1.86,2.95,1.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Artichokes, stuffed",Survey (FNDDS),18.0,2.94,1.91,0.42,1.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",Survey (FNDDS),45.0,2.3,4.04,2.86,2.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",Survey (FNDDS),86.0,1.69,16.28,1.54,0.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Asian stir fry vegetables, cooked, fat added",Survey (FNDDS),83.0,1.74,15.46,1.58,0.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Asian stir fry vegetables, cooked, no added fat",Survey (FNDDS),103.0,1.8,20.3,1.78,0.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Asparagus, canned, cooked with butter or margarine",Survey (FNDDS),281.0,14.43,36.1,8.63,1.2,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Asparagus, canned, cooked with oil",Survey (FNDDS),326.0,1.8,2.0,35.0,0.2,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Asparagus, canned, cooked, fat added, NS as to fat type",Survey (FNDDS),382.0,13.71,29.26,23.2,1.6,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Asparagus, canned, cooked, no added fat",Survey (FNDDS),309.0,11.69,5.31,29.52,2.6,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Asparagus, fresh, cooked with butter or margarine",Survey (FNDDS),229.0,12.02,27.53,7.76,3.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Asparagus, fresh, cooked with oil",Survey (FNDDS),231.0,10.89,29.71,7.54,1.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Asparagus, fresh, cooked, fat added, NS as to fat type",Survey (FNDDS),253.0,13.33,4.8,20.0,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Asparagus, fresh, cooked, no added fat",Survey (FNDDS),264.0,10.56,52.38,1.32,1.6,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Asparagus, frozen, cooked with butter or margarine",Survey (FNDDS),451.0,12.34,66.36,15.14,4.1,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
"Asparagus, frozen, cooked with oil",Survey (FNDDS),250.0,10.2,48.89,1.53,4.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Asparagus, frozen, cooked, fat added, NS as to fat type",Survey (FNDDS),255.0,9.51,51.93,1.4,4.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Asparagus, frozen, cooked, no added fat",Survey (FNDDS),250.0,10.2,48.89,1.53,4.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Asparagus, NS as to form, cooked",Survey (FNDDS),250.0,10.2,48.89,1.53,4.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Atole,Survey (FNDDS),250.0,10.2,48.89,1.53,4.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Atole de avena,Survey (FNDDS),250.0,10.2,48.89,1.53,4.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Atole de chocolate,Survey (FNDDS),263.0,9.52,50.78,2.77,4.4,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
Avocado dressing,Survey (FNDDS),255.0,9.51,51.93,1.4,4.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Avocado, for use on a sandwich",Survey (FNDDS),250.0,10.2,48.89,1.53,4.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Bacalaitos fritos,Survey (FNDDS),250.0,10.2,48.89,1.53,4.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Bacon and tomato dressing,Survey (FNDDS),255.0,9.51,51.93,1.4,4.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Bacon biscuit sandwich,Survey (FNDDS),243.0,9.55,48.36,1.25,1.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Bacon bits,Survey (FNDDS),268.0,9.83,55.07,1.21,1.9,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Bacon or side pork, fresh, cooked",Survey (FNDDS),105.0,4.52,21.57,0.89,4.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Bacon strip, meatless",Survey (FNDDS),116.0,4.38,23.29,1.35,4.3,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Bacon, for use on a sandwich",Survey (FNDDS),104.0,4.77,20.35,0.4,5.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Bacon, for use with vegetables",Survey (FNDDS),94.0,4.75,21.14,0.37,4.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Bacon, lettuce, tomato sandwich on wheat",Survey (FNDDS),440.0,6.58,37.55,29.34,2.5,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
"Bacon, lettuce, tomato sandwich on white",Survey (FNDDS),41.0,1.68,3.13,2.94,1.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Bacon, NS as to type of meat, cooked",Survey (FNDDS),74.0,0.26,18.01,0.13,0.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Bacon, NS as to type of meat, reduced sodium, cooked",Survey (FNDDS),160.0,2.57,28.0,4.26,0.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Bagel,Survey (FNDDS),199.0,2.42,32.59,6.88,1.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Bagel chips,Survey (FNDDS),161.0,0.82,32.43,3.21,1.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Bagel, multigrain",Survey (FNDDS),273.0,11.17,39.78,7.58,1.2,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Bagel, multigrain, with raisins",Survey (FNDDS),268.0,6.73,54.27,2.94,3.4,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Bagel, oat bran",Survey (FNDDS),240.0,17.02,23.3,8.52,2.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Bagel, pumpernickel",Survey (FNDDS),245.0,16.48,24.86,8.5,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Bagel, wheat",Survey (FNDDS),252.0,27.97,0.0,15.15,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Bagel, wheat bran",Survey (FNDDS),228.0,19.83,12.23,10.79,0.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Bagel, wheat, with fruit and nuts",Survey (FNDDS),167.0,19.0,12.23,4.64,0.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Bagel, wheat, with raisins",Survey (FNDDS),199.0,16.47,23.3,4.42,2.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Bagel, whole grain white",Survey (FNDDS),204.0,15.92,24.86,4.4,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Bagel, whole wheat",Survey (FNDDS),226.0,18.14,12.23,11.17,0.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Bagel, whole wheat, with raisins",Survey (FNDDS),238.0,15.52,23.3,8.86,2.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Bagel, with fruit other than raisins",Survey (FNDDS),243.0,14.97,24.86,8.83,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Bagel, with raisins",Survey (FNDDS),249.0,24.75,0.0,15.87,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Baked beans,Survey (FNDDS),226.0,17.57,12.23,11.3,0.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Baked beans from fast food / restaurant,Survey (FNDDS),223.0,13.66,26.5,6.47,0.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Baked beans, reduced sodium",Survey (FNDDS),238.0,15.34,24.86,8.12,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Baked beans, vegetarian",Survey (FNDDS),172.0,0.82,40.77,0.63,0.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Baklava,Survey (FNDDS),284.0,5.42,40.43,11.36,0.4,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Bamboo shoots, cooked",Survey (FNDDS),139.0,2.2,27.23,2.74,3.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Banana chips,Survey (FNDDS),282.0,4.81,43.76,9.94,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
Banana nectar,Survey (FNDDS),414.0,5.8,49.88,21.41,3.0,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
Banana pudding,Survey (FNDDS),119.0,5.44,15.89,3.7,4.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Banana split,Survey (FNDDS),226.0,6.22,49.98,0.47,5.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Banana, baked",Survey (FNDDS),109.0,3.52,13.0,5.0,3.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Bao bun,Survey (FNDDS),116.0,9.8,6.08,6.93,3.3,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Bao bun, no meat",Survey (FNDDS),162.0,6.4,24.29,4.54,3.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Barbecue beef sandwich, on wheat bun",Survey (FNDDS),138.0,6.74,17.29,5.22,3.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Barbecue beef sandwich, on white bun",Survey (FNDDS),185.0,6.29,24.41,6.99,3.6,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Barbecue beef, no sauce",Survey (FNDDS),162.0,7.49,23.54,4.24,4.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Barbecue beef, with sauce",Survey (FNDDS),137.0,4.7,21.9,3.46,3.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Barbecue chicken,Survey (FNDDS),164.0,6.5,25.19,4.21,3.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Barbecue chicken sandwich, on wheat bun",Survey (FNDDS),206.0,8.77,22.6,9.32,5.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Barbecue chicken sandwich, on white bun",Survey (FNDDS),160.0,10.43,5.09,10.63,1.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Barbecue meat, NFS",Survey (FNDDS),137.0,9.12,12.26,5.42,0.5,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Barbecue pork sandwich, on wheat bun",Survey (FNDDS),140.0,7.86,15.02,5.33,0.6,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Barbecue pork sandwich, on white bun",Survey (FNDDS),139.0,7.7,15.39,5.07,0.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Barbecue pork, no sauce",Survey (FNDDS),136.0,7.54,14.96,5.14,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Barbecue pork, with sauce",Survey (FNDDS),173.0,13.19,7.54,10.05,0.6,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Barbecue rib sandwich,Survey (FNDDS),115.0,8.74,10.67,3.93,0.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Barbecue sandwich, NFS",Survey (FNDDS),189.0,11.37,16.24,8.41,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Barbecue sauce,Survey (FNDDS),126.0,8.15,11.1,5.6,0.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Barfi or Burfi, Indian dessert",Survey (FNDDS),100.0,8.04,8.66,3.79,0.7,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Barley,Survey (FNDDS),133.0,7.92,14.52,4.93,1.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Basbousa,Survey (FNDDS),142.0,8.08,14.66,5.35,0.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Bean cake,Survey (FNDDS),139.0,6.7,15.9,5.24,0.2,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Bean chips,Survey (FNDDS),137.0,6.28,15.98,5.12,0.2,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Bean dip, made with refried beans",Survey (FNDDS),135.0,6.25,15.53,5.18,0.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Bean paste, sweetened",Survey (FNDDS),178.0,13.58,7.96,10.26,0.5,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Bean salad, yellow and/or green string beans",Survey (FNDDS),136.0,6.39,15.88,5.15,0.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Bean sprouts, cooked",Survey (FNDDS),146.0,7.27,17.23,5.0,0.2,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beans and brown rice,Survey (FNDDS),122.0,8.11,6.47,7.34,0.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beans and franks,Survey (FNDDS),121.0,10.03,5.16,7.09,1.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beans and rice, from fast food / restaurant",Survey (FNDDS),147.0,12.13,4.34,9.15,1.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beans and rice, with meat",Survey (FNDDS),115.0,8.06,4.5,7.34,1.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beans and rice, with tomatoes",Survey (FNDDS),116.0,11.41,3.0,6.73,1.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beans and tomatoes, fat added",Survey (FNDDS),144.0,11.72,4.65,8.81,1.2,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beans and tomatoes, no added fat",Survey (FNDDS),93.0,4.79,14.24,2.24,1.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Beans and white rice,Survey (FNDDS),261.0,26.44,0.0,16.52,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beans with meat, NS as to type",Survey (FNDDS),148.0,18.48,4.19,6.0,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beans, from canned, NS as to type, fat added",Survey (FNDDS),129.0,10.78,11.17,4.89,1.5,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beans, from canned, NS as to type, no added fat",Survey (FNDDS),82.0,10.76,3.85,2.61,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beans, from dried, NS as to type, fat added",Survey (FNDDS),113.0,7.57,6.53,6.57,1.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beans, from dried, NS as to type, no added fat",Survey (FNDDS),119.0,5.61,15.12,4.05,1.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beans, from fast food / restaurant, NS as to type",Survey (FNDDS),146.0,6.82,10.94,8.4,1.2,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beans, NFS",Survey (FNDDS),147.0,13.82,4.78,8.08,0.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Bear,Survey (FNDDS),195.0,20.56,6.61,9.08,0.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beaver,Survey (FNDDS),261.0,17.85,2.9,19.32,0.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef and broccoli,Survey (FNDDS),341.0,13.3,3.37,28.7,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
Beef and macaroni with cheese sauce,Survey (FNDDS),341.0,13.65,3.75,28.54,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
Beef and noodles with cream or white sauce,Survey (FNDDS),122.0,14.8,5.06,4.88,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef and noodles with gravy,Survey (FNDDS),321.0,20.92,3.89,24.12,0.7,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
Beef and noodles with mushroom sauce,Survey (FNDDS),220.0,14.57,6.53,14.85,1.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef and noodles with soy-based sauce,Survey (FNDDS),150.0,10.06,6.21,9.33,0.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef and noodles with tomato-based sauce,Survey (FNDDS),129.0,7.76,8.99,6.8,0.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef and noodles, no sauce",Survey (FNDDS),181.0,12.97,6.37,11.32,0.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef and potatoes with cheese sauce,Survey (FNDDS),368.0,19.16,10.25,27.43,0.4,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Beef and potatoes with cream sauce, white sauce or mushroom sauce",Survey (FNDDS),185.0,22.5,2.75,9.31,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef and potatoes, no sauce",Survey (FNDDS),156.0,21.56,1.58,7.05,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef and rice with cheese sauce,Survey (FNDDS),163.0,21.97,1.83,7.54,0.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef and rice with cream sauce,Survey (FNDDS),187.0,15.86,3.35,12.38,0.5,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef and rice with gravy,Survey (FNDDS),118.0,6.92,12.23,4.37,0.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Beef and rice with mushroom sauce,Survey (FNDDS),211.0,9.29,14.22,12.81,0.6,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef and rice with soy-based sauce,Survey (FNDDS),149.0,21.72,1.58,6.36,0.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef and rice with tomato-based sauce,Survey (FNDDS),125.0,10.64,4.69,6.95,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef and rice, no sauce",Survey (FNDDS),121.0,7.85,6.97,7.16,1.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
